종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
096775,SK이노베이션우,"144,000","1,500","1.05","144,000","143,500","1,882","270,833,000","143,000","145,000","141,500","5,000",원(KRW),"1,248,426","179,773,344,000",
001510,SK증권,"1,230","40","3.36","1,230","1,225","3,452,678","4,225,055,210","1,200","1,240","1,195","500",원(KRW),"320,117,171","393,744,120,330",
001515,SK증권우,"3,695","55","1.51","3,740","3,695","105,736","393,882,790","3,640","3,790","3,630","500",원(KRW),"3,912,514","14,456,739,230",
285130,SK케미칼,"109,000","30","0.00","109,500","109,000","64,150","6,977,012,000","109,000","110,000","108,000","5,000",원(KRW),"11,579,852","1,262,203,868,000",
28513K,SK케미칼우,"35,500","400","1.14","35,500","35,450","2,844","100,333,150","35,150","35,550","35,100","5,000",원(KRW),"1,458,670","51,782,785,000",
017670,SK텔레콤,"233,500","4,000","1.74","233,500","233,000","168,080","39,141,553,000","230,500","235,500","230,500","500",원(KRW),"80,745,711","18,854,123,518,500",
000660,SK하이닉스,"83,300","-200","0.24","83,400","83,300","5,159,197","435,692,699,900","84,400","85,900","83,100","5,000",원(KRW),"728,002,365","60,642,597,004,500",
048550,SM C&C,"3,085","145","4.93","3,085","3,080","1,938,819","5,946,685,920","2,935","3,125","2,920","500",원(KRW),"94,041,026","290,116,565,210",
005610,SPC삼립,"131,500","1,500","1.15","131,500","131,000","18,672","2,442,608,500","129,000","133,500","129,000","5,000",원(KRW),"8,629,009","1,134,714,683,500",
011810,STX,"23,850","30","0.00","0","0","0","0","0","0","0","2,500",원(KRW),"17,862,430","426,018,955,500",
077970,STX엔진,"7,990","50","0.63","7,990","7,940","13,224","105,300,910","7,970","8,100","7,920","2,500",원(KRW),"23,008,904","183,841,142,960",
071970,STX중공업,"5,380","-190","3.41","5,390","5,380","518,167","2,865,344,390","5,580","5,710","5,130","2,500",원(KRW),"24,836,846","133,622,231,480",
084870,TBH글로벌,"7,040","150","2.18","7,040","7,030","47,655","332,744,710","6,940","7,090","6,870","500",원(KRW),"20,856,819","146,832,005,760",
002710,TCC동양,"1,895","10","0.53","1,905","1,895","33,240","62,469,435","1,885","1,905","1,855","1,000",원(KRW),"22,342,500","42,339,037,500",
089230,THE E&M,"1,065","40","3.90","1,065","1,060","550,911","571,295,870","1,020","1,070","1,005","100",원(KRW),"91,860,980","97,831,943,700",
032540,TJ미디어,"4,625","15","0.33","4,625","4,620","14,361","66,887,585","4,610","4,735","4,590","500",원(KRW),"13,931,609","64,433,691,625",
048770,TPC,"6,850","-60","0.87","6,890","6,850","20,130","138,346,760","6,910","6,970","6,810","500",원(KRW),"12,900,000","88,365,000,000",
038340,UCI,"3,600","30","0.00","0","0","0","0","0","0","0","500",원(KRW),"11,486,547","41,351,569,200",
024070,WISCOM,"3,980","-15","0.38","3,980","3,970","5,519","21,888,655","4,000","4,035","3,955","500",원(KRW),"15,025,920","59,803,161,600",
052300,W홀딩컴퍼니,"577","4","0.70","579","577","303,365","175,259,919","573","583","572","100",원(KRW),"118,983,162","68,653,284,474",
